StoreID,StoreName,Street,City,State,Phone,Fax,Latitude,Longitude,ZipCode,URL
900,"AAA Equipment Rentals, Inc.",10 West Street,Nyack,NY,845-675-7113,845-353-1054,41.092975,-73.941906,10960,https://equipmentrentalsrocklandny.com/
899,Frank Rymon &#038; Son&#8217;s Inc.,399 State Rt 31 South,Washington,NJ,908-689-1464,908-689-7729,40.728415,-74.974086,07882,https://www.rymons.com/
898,"Waterbury Setaro Motors, Inc.",11 Chase Ave.,Waterbury,CT,203-573-0733,203-574-2196,41.578098,-73.028675,06704,http://www.bargainnews.com/ct/1127/setaromotors.htm
918,Theodore S Montross Farm Machinery,1368 Demunds Rd,Dallas,PA,570-333-4147,570-333-5996,41.411698,-75.922697,18612,
916,"Redwell Repair, LLC",15 S. New Holland Road,Gordonville,PA,717-768-8939,717-768-7495,40.037843,-76.062987,17529,https://www.redwellrepair.net/
897,Foskett Equipment Inc,187 Peake Brook Road,Woodstock,CT,860-928-5748,860-928-6816,41.93371,-71.944441,06281,https://www.foskettequipment.com/
917,"W. F. Welliver &#038; Son, Inc.",20 White Hall Road,Bloomsburg,PA,570-437-2430,570-437-3791,41.090329,-76.579255,17815,http://www.wfwelliverandson.com/
887,"Sirum Equipment Company, Inc.",310 Federal Street,Montague,MA,413-367-2481,413-367-2400,42.54664,-72.515584,01351,https://sirumequipment.com/
3647,Higgins Powersports,140 Worcester Rd,Barre,MA,(978) 355-6343,,42.406342,-72.094948,01005,https://www.higginspowersports.com/
3042,Northeast ATV Sales,3226 Elmira St,Sayre,PA,(570) 882-7501,,41.993820,-76.547290,18840,http://www.neatvsales.com/products/ls-tractors
901,"Outdoor Motor Sports, LLC",3953 State Hwy 30,Amsterdam,NY,518-842-8812,518-888-3332,43.033099,-74.202156,12010,https://www.outdoor-motor-sports.com/
920,"Bell Creek Equipment, LLC",21927 Dover Bridge Road,Preston,MD,410-673-2700,410-673-2730,38.746275,-75.947004,21655,https://www.bellcreekequipment.com/
913,Wellsboro Equipment,25 Whitneyville Road,Mansfield,PA,570-724-6100,570-724-2741,41.766189,-77.200589,16933,https://wellsboroequipment.com/
891,Stewart&#8217;s Power Equipment Inc.,670 S Franklin St,Holbrook,MA,781-767-3544,781-767-5838,42.133655,-71.008059,02343,https://www.stewartspower.com/
915,"Barlow Ag Service &#038; Sales, Inc.",676 Barlow Road,Gettysburg,PA,717-334-8418,717-334-1044,39.739617,-77.241638,17325,https://www.barlowagservice.com/default.htm
909,Brian Switzer Equipment,6414 Lewis Road,Trumansburg,NY,607-387-9808,607-387-4018,42.544885,-76.719342,14886,https://www.brianswitzerequipment.com/
903,"Finger Lakes Power Equipment, LLC dba Skaneateles Small Engine",1382 U.S. Route 20 E,Skaneateles,NY,315-685-8600,315-685-8602,42.943565,-76.408806,13152,https://skaneatelessmallengine.com/
889,"Pinerock Construction, Inc",206 Common Lane,Beverly,MA,978-922-8165,978-922-8165,42.565826,-70.84421,01915,
888,"Pinerock Construction, Inc",9 Old Right Road,Ipswich,MA,978-922-8165,978-922-8165,42.682698,-70.914451,01938,
908,"Martin&#8217;s Outdoor Power Equip, LLC; dba Twin Pines Power Eq",1300 State Route 14A,Penn Yan,NY,315-536-6382,315-536-0782,42.702034,-77.066633,14527,https://www.martinsoutdoor.com/
919,231 Farm &#038; Outdoor Sports,171 Skipjack Road,Prince Frederick,MD,410-535-7666,443-968-2391,38.508437,-76.639866,20678,https://231farmoutdoorsports.com/
890,"The Tractor Place of NH, LLC",65 Route 125,Kingston,NH,603-642-3100,978-922-8165,42.878999,-71.081056,03848,http://bluetractorguy.com/
914,McConnellsburg Motor &#038; Implement,875 Lincoln Hwy East,McConnellsburg,PA,717-485-3181,717-485-5579,39.928645,-77.986401,17233,https://mcconnellsburgmotorandimp.com/
902,Ranmar Tractor Supply,5219 US Route 11,Pulaski,NY,315-298-5109,315-298-5109,43.590264,-76.112651,13142,
5662,Wood Lake LLC,796 Branch Road,Woodbury,PA,814-766-2119,,40.203483,-78.390102,16695,https://www.woodlakellc.com/
